"sample","mother","history","ramp","time","fvfm","C.SH","D.SH","tot.SH"
"1_1","1","C*","cool",0,"0.506",0.001577498,6.059084432,6.06066193
"1_1","1","C*","cool",7,"0.454",NA,NA,NA
"1_1","1","C*","cool",14,"0.457",NA,NA,NA
"1_1","1","C*","cool",21,"0.396",NA,NA,NA
"1_1","1","C*","cool",28,"0.347",5.25394e-05,0.216498317,0.2165508564
"1_1","1","C*","cool",35,"0.386",NA,NA,NA
"1_1","1","C*","cool",42,"0.372",6.30155e-05,0.440557301,0.4406203165
"1_1","1","C*","cool",49,"0.29",NA,NA,NA
"1_1","1","C*","cool",56,"0.246",NA,NA,NA
"1_1","1","C*","cool",63,"0.156",NA,NA,NA
"1_10","1","B'","heat",0,"0.505",0.198909479,3.45776637,3.656675849
"1_10","1","B'","heat",7,"0.508",NA,NA,NA
"1_10","1","B'","heat",14,"0.491",NA,NA,NA
"1_10","1","B'","heat",21,"0.423",NA,NA,NA
"1_10","1","B'","heat",28,"0.364",8.72241e-05,0.575846052,0.5759332761
"1_10","1","B'","heat",35,"0.191",NA,NA,NA
"1_10","1","B'","heat",42,"0",0,0.072734519,0.072734519
"1_11","1","D*","heat",0,"0.475",0,0.305196235,0.305196235
"1_11","1","D*","heat",7,"0.486",NA,NA,NA
"1_11","1","D*","heat",14,"0.502",NA,NA,NA
"1_11","1","D*","heat",21,"0.441",NA,NA,NA
"1_11","1","D*","heat",28,"0.331",8.29512e-05,0.784465484,0.7845484352
"1_11","1","D*","heat",35,"0.128",NA,NA,NA
"1_11","1","D*","heat",42,"0",0,0.027281492,0.027281492
"1_12","1","F*","heat",0,"0.461",0,0.871150337,0.871150337
"1_12","1","F*","heat",7,"0.488",NA,NA,NA
"1_12","1","F*","heat",14,"0.469",NA,NA,NA
"1_12","1","F*","heat",21,"0.405",NA,NA,NA
"1_12","1","F*","heat",28,"0.278",0,0.489845144,0.489845144
"1_12","1","F*","heat",35,"0.173",NA,NA,NA
"1_12","1","F*","heat",42,"0",0,0.048384583,0.048384583
"1_13","1","E'","cool",0,"0.504",0.962488481,1.975020296,2.937508777
"1_13","1","E'","cool",7,"0.477",NA,NA,NA
"1_13","1","E'","cool",14,"0.445",NA,NA,NA
"1_13","1","E'","cool",21,"0.428",NA,NA,NA
"1_13","1","E'","cool",28,"0.402",0.119912323,0.293518279,0.413430602
"1_13","1","E'","cool",35,"0.412",NA,NA,NA
"1_13","1","E'","cool",42,"0.402",0.112923763,0.049659828,0.162583591
"1_13","1","E'","cool",49,"0.329",NA,NA,NA
"1_13","1","E'","cool",56,"0.23",NA,NA,NA
"1_13","1","E'","cool",63,"0.18",0.005889178,0.046986933,0.052876111
"1_16","1","C*","cool",0,"0.468",NA,NA,NA
"1_16","1","C*","cool",7,"0.444",NA,NA,NA
"1_16","1","C*","cool",14,"0.453",NA,NA,NA
"1_16","1","C*","cool",21,"0.405",NA,NA,NA
"1_16","1","C*","cool",28,"0.357",0.000161564,2.339026124,2.339187688
"1_16","1","C*","cool",35,"0.348",NA,NA,NA
"1_16","1","C*","cool",42,"0.35",0.000153481,0.921343374,0.921496855
"1_16","1","C*","cool",49,"0.293",NA,NA,NA
"1_16","1","C*","cool",56,"0.244",NA,NA,NA
"1_16","1","C*","cool",63,"0.219",0,5.200620407,5.200620407
"1_19","1","A'","cool",0,"0.505",NA,NA,NA
"1_19","1","A'","cool",7,"0.52",NA,NA,NA
"1_19","1","A'","cool",14,"0.489",NA,NA,NA
"1_19","1","A'","cool",21,"0.459",NA,NA,NA
"1_19","1","A'","cool",28,"0.435",0.080192616,0,0.080192616
"1_19","1","A'","cool",35,"0.476",NA,NA,NA
"1_19","1","A'","cool",42,"0.463",0.308370987,0,0.308370987
"1_19","1","A'","cool",49,"0.373",NA,NA,NA
"1_19","1","A'","cool",56,"0.232",NA,NA,NA
"1_19","1","A'","cool",63,"0.259",0.002621449,0,0.002621449
"1_23","1","B*","heat",0,"0.484",0.000915154,1.061849291,1.062764445
"1_23","1","B*","heat",7,"0.501",NA,NA,NA
"1_23","1","B*","heat",14,"0.462",NA,NA,NA
"1_23","1","B*","heat",21,"0.441",NA,NA,NA
"1_23","1","B*","heat",28,"0.297",0,1.252628403,1.252628403
"1_23","1","B*","heat",35,"0.116",NA,NA,NA
"1_23","1","B*","heat",42,"0",0,0.072055785,0.072055785
"1_24","1","F'","heat",0,"0.443",0.000689521,0.479456203,0.480145724
"1_24","1","F'","heat",7,"0.458",NA,NA,NA
"1_24","1","F'","heat",14,"0.424",NA,NA,NA
"1_24","1","F'","heat",21,"0.364",NA,NA,NA
"1_24","1","F'","heat",28,"0.263",3.52509e-05,0.51137185,0.5114071009
"1_24","1","F'","heat",35,"0.217",NA,NA,NA
"1_24","1","F'","heat",42,"0.133",0,1.029584654,1.029584654
"1_25","1","A*","cool",0,"0.472",0.009945488,4.867058884,4.877004372
"1_25","1","A*","cool",7,"0.432",NA,NA,NA
"1_25","1","A*","cool",14,"0.432",NA,NA,NA
"1_25","1","A*","cool",21,"0.363",NA,NA,NA
"1_25","1","A*","cool",28,"0.332",0.014060079,2.265475728,2.279535807
"1_25","1","A*","cool",35,"0.358",NA,NA,NA
"1_25","1","A*","cool",42,"0.327",NA,NA,NA
"1_25","1","A*","cool",49,"0.277",NA,NA,NA
"1_25","1","A*","cool",56,"0.192",NA,NA,NA
"1_25","1","A*","cool",63,"0.15",0.000842224,0.395340013,0.396182237
"1_26","1","C'","cool",0,"0.478",0.008624224,1.298955863,1.307580087
"1_26","1","C'","cool",7,"0.448",NA,NA,NA
"1_26","1","C'","cool",14,"0.449",NA,NA,NA
"1_26","1","C'","cool",21,"0.385",NA,NA,NA
"1_26","1","C'","cool",28,"0.334",0.039157296,2.967819485,3.006976781
"1_26","1","C'","cool",35,"0.368",NA,NA,NA
"1_26","1","C'","cool",42,"0.343",NA,NA,NA
"1_26","1","C'","cool",49,"0.273",NA,NA,NA
"1_26","1","C'","cool",56,"0.232",NA,NA,NA
"1_26","1","C'","cool",63,"0.142",0.001358631,1.757709383,1.759068014
"1_30","1","A'","cool",0,"0.519",NA,NA,NA
"1_30","1","A'","cool",7,"0.526",NA,NA,NA
"1_30","1","A'","cool",14,"0.535",NA,NA,NA
"1_30","1","A'","cool",21,"0.528",NA,NA,NA
"1_30","1","A'","cool",28,"0.468",0.055296706,0,0.055296706
"1_30","1","A'","cool",35,"0.503",NA,NA,NA
"1_30","1","A'","cool",42,"0.495",0.286751116,0,0.286751116
"1_30","1","A'","cool",49,"0.39",NA,NA,NA
"1_30","1","A'","cool",56,"0.303",NA,NA,NA
"1_30","1","A'","cool",63,"0.3",0.003994998,0,0.003994998
"1_9","1","D'","heat",0,"0.486",0.000677894,1.298186733,1.298864627
"1_9","1","D'","heat",7,"0.479",NA,NA,NA
"1_9","1","D'","heat",14,"0.464",NA,NA,NA
"1_9","1","D'","heat",21,"0.416",NA,NA,NA
"1_9","1","D'","heat",28,"0.303",0,7.211333943,7.211333943
"1_9","1","D'","heat",35,"0.158",NA,NA,NA
"1_9","1","D'","heat",42,"0",3.51942e-05,0.053362197,0.0533973912
"2_13","2","F'","heat",0,"0.493",0.017913701,1.227200309,1.24511401
"2_13","2","F'","heat",7,"0.507",NA,NA,NA
"2_13","2","F'","heat",14,"0.502",NA,NA,NA
"2_13","2","F'","heat",21,"0.443",NA,NA,NA
"2_13","2","F'","heat",28,"0.325",0,0.199365983,0.199365983
"2_13","2","F'","heat",35,"0.152",NA,NA,NA
"2_13","2","F'","heat",42,"0",0,0.020163276,0.020163276
